date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:59	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5ad5e463c5294%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.eot	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.eot	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:01	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5ad5e463c5294%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.eot?	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regulard41d.eot	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:03	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.woff	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.woff	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:04	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-5ad5e463c6234%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.svg	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Fonts/glyphicons-halflings-regular.svg	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:06	547/547	---M--	200	added ('OK')	image/png	etag:%22223-5ad5e463d7b74%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/PhotoSwipe/default-skin.png	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/PhotoSwipe/default-skin.png	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:06	1554/1554	---M--	200	added ('OK')	image/svg+xml	etag:%22612-5ad5e463d7b74%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/PhotoSwipe/default-skin.svg	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/PhotoSwipe/default-skin.svg	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:07	866/866	---M--	200	added ('OK')	image/gif	etag:%22362-5ad5e463d7b74%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/PhotoSwipe/preloader.gif	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/PhotoSwipe/preloader.gif	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3temp/assets/bootstrappackage/lessphp_594286df7ff4fe903f450f748726cc0ea3fb2cd5.css?1597995369)
20:20:07	9719/9719	---M-Z	200	added ('OK')	text/html	etag:%2215fe4aaac5532941d0b90d571f701839-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=64	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index3ebc.html	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=65)
20:20:08	12202/12202	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2023:20:05%20GMT	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=65&tx_regiones_region%5Baction%5D=new&tx_regiones_region%5Bcontroller%5D=Region&cHash=44ab1329d73c67c547c910ffc51c358e	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index1946.html	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=65)
20:20:09	6277/6277	---M--	200	added ('OK')	application/octet-stream-unknown	date:Wed,%2016%20Sep%202020%2023:20:06%20GMT	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=65&tx_regiones_region%5Baction%5D=generateExcel&tx_regiones_region%5Bcontroller%5D=Region&cHash=2e34a48cd1201f4957b471a131553d12	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/Reporte_Regions_16-09-2020_20_20_061409.xlsx	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=65)
